venue,conference_name,core_year,level,level_in_file,ranking_version_in_file,source_file,source_venue_col,undifferentiated_2010
VLSI,Symposia on VLSI Technology and Circuits,2013,A,A,CORE2013,COREA-2013.csv,2,False
MASCOTS,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,2013,A,A,CORE2013,COREA-2013.csv,2,False
MassPar,Symposium on Frontiers of Massively Parallel Processing,2013,A,A,CORE2013,COREA-2013.csv,2,False
HOTCHIPS (HCS),Symposium on High Performance Chips,2013,A,A,CORE2013,COREA-2013.csv,2,False
SPAA,Symposium on Parallelism in Algorithms and Architectures,2013,A,A,CORE2013,COREA-2013.csv,2,False
SRDS,Symposium on Reliable Distributed Systems,2013,A,A,CORE2013,COREA-2013.csv,2,False
TEI,"Tangible, Embedded, and Embodied Interaction",2013,A,A,CORE2013,COREA-2013.csv,2,False
TARK,Theoretical Aspects of Rationality and Knowledge,2013,A,A,CORE2013,COREA-2013.csv,2,False
TCC,Theory of Cryptography Conference,2013,A,A,CORE2013,COREA-2013.csv,2,False
TACAS,Tools and Algorithms for Construction and Analysis of Systems,2013,A,A,CORE2013,COREA-2013.csv,2,False
USITS,Unix Symposium on Internet Technologies,2013,A,A,CORE2013,COREA-2013.csv,2,False
SDSDI,Unix Symposium on Operating Systems Design and Implementation,2013,A,A,CORE2013,COREA-2013.csv,2,False
USENIX,Usenix Annual Technical Conference,2013,A,A,CORE2013,COREA-2013.csv,2,False
NDSS,Usenix Network and Distributed System Security Symposium,2013,A,A,CORE2013,COREA-2013.csv,2,False
USENIX-Security,Usenix Security Symposium,2013,A,A,CORE2013,COREA-2013.csv,2,False
HotOS,USENIX Workshop on Hot Topics in Operating Systems,2013,A,A,CORE2013,COREA-2013.csv,2,False
ALENEX,Workshop on Algorithm Engineering and Experiments,2013,A,A,CORE2013,COREA-2013.csv,2,False
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CCS,ACM Conference on Computer and Communications Security,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
JCDL,ACM Conference on Digital Libraries,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SENSYS,ACM Conference on Embedded Networked Sensor Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
OOPSLA,ACM Conference on Object Oriented Programming Systems Languages and Applications,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
KDD,ACM International Conference on Knowledge Discovery and Data Mining,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
MOBICOM,ACM International Conference on Mobile Computing and Networking,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SIGIR,ACM International Conference on Research and Development in Information Retrieval,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ISCA,ACM International Symposium on Computer Architecture,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ACMMM,ACM Multimedia,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
PODS,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SOSP,ACM SIGOPS Symposium on Operating Systems Principles,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SIGMOD,ACM Special Interest Group on Management of Data Conference,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
PODC,ACM Symposium on Principles of Distributed Computing,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
STOC,ACM Symposium on Theory of Computing,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
POPL,ACM-SIGACT Symposium on Principles of Programming Languages,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
PLDI,ACM-SIGPLAN Conference on Programming Language Design and Implementation,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
I3DG,ACM-SIGRAPH Interactive 3D Graphics and Games,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SODA,ACM/SIAM Symposium on Discrete Algorithms,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CRYPTO,Advances in Cryptology,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
NeurIPS,Advances in Neural Information Processing Systems (was NIPS),2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ASPLOS,Architectural Support for Programming Languages and Operating Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ACL,Association for Computational Linguistics,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CAV,Computer Aided Verification,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CSCL,Computer Supported Collaborative Learning,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
UAI,Conference in Uncertainty in Artificial Intelligence,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
COLT,Conference on Learning Theory,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
DCC,Data Compression Conference,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
FOGA,Foundations of Genetic Algorithms,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
IEEE InfoVis,IEEE Information Visualization Conference,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
INFOCOM,IEEE International Conference on Computer Communications,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICCV,IEEE International Conference on Computer Vision,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICDM,IEEE International Conference on Data Mining,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
PERCOM,IEEE International Conference on Pervasive Computing and Communications,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ISWC,IEEE International Symposium on Wearable Computers,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
FOCS,IEEE Symposium on Foundations of Computer Science,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
LICS,IEEE Symposium on Logic in Computer Science,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
IPSN,Information Processing in Sensor Networks,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICAPS,International Conference on Automated Planning and Scheduling,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICDE,International Conference on Data Engineering,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICFP,International Conference on Functional Programming,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CHI,International Conference on Human Factors in Computing Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICIS,International Conference on Information Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICML,International Conference on Machine Learning,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
PERVASIVE,International Conference on Pervasive Computing (Joined with UbiComp from 2013),2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ICSE,International Conference on Software Engineering,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
KR,International Conference on the Principles of Knowledge Representation and Reasoning,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
VLDB,International Conference on Very Large Databases,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
IJCAI,International Joint Conference on Artificial Intelligence,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
IJCAR,International Joint Conference on Automated Reasoning,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
AAMAS,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
HPCA,International Symposium on High Performance Computer Architecture,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
ISSAC,International Symposium on Symbolic and Algebraic Computation,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
WWW,International World Wide Web Conference,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
SIGMETRICS,Measurement and Modeling of Computer Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
AAAI,National Conference of the American Association for Artificial Intelligence,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
RTSS,Real Time Systems Symposium,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
RSS,Robotics: Science and Systems,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
OSDI,Usenix Symposium on Operating Systems Design and Implementation,2013,A*,A*,CORE2013,COREAstar-2013.csv,2,False
CSCW,ACM Conference on Computer Supported Cooperative Work,2014,A,A,CORE2014,COREA-2014.csv,2,False
Hypertext,ACM Conference on Hypertext and Social Media,2014,A,A,CORE2014,COREA-2014.csv,2,False
CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,2014,A,A,CORE2014,COREA-2014.csv,2,False
CIKM,ACM International Conference on Information and Knowledge Management,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISS,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),2014,A,A,CORE2014,COREA-2014.csv,2,False
ICS,ACM International Conference on Supercomputing,2014,A,A,CORE2014,COREA-2014.csv,2,False
FSE,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",2014,A,A,CORE2014,COREA-2014.csv,2,False
HPDC,ACM International Symposium on High Performance Distributed Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
LCTES,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",2014,A,A,CORE2014,COREA-2014.csv,2,False
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
MOBIHOC,ACM Symposium on Mobile Ad Hoc Networking and Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
SSR,ACM Symposium on Software Reusability,2014,A,A,CORE2014,COREA-2014.csv,2,False
UIST,ACM Symposium on User Interface Software and Technology,2014,A,A,CORE2014,COREA-2014.csv,2,False
VRST,ACM Virtual Reality Software and Technology,2014,A,A,CORE2014,COREA-2014.csv,2,False
HOTNETS,ACM Workshop on Hot Topics in Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
MSWIM,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",2014,A,A,CORE2014,COREA-2014.csv,2,False
Middleware,ACM/IFIP/USENIX International Middleware Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
MMCN,ACM/SPIE Multimedia Computing and Networking,2014,A,A,CORE2014,COREA-2014.csv,2,False
AiML,Advances in Modal Logic,2014,A,A,CORE2014,COREA-2014.csv,2,False
AMIA,American Medical Informatics Annual Fall Symposium,2014,A,A,CORE2014,COREA-2014.csv,2,False
AMCIS,Americas Conference on Information Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
ACSAC,Annual Computer Security Applications Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
Interspeech,Annual Conference of the International Speech Communication Association (was Eurospeech),2014,A,A,CORE2014,COREA-2014.csv,2,False
ITiCSE,Annual Conference on Innovation and Technology in Computer Science Education,2014,A,A,CORE2014,COREA-2014.csv,2,False
CogSci,Annual Meeting of the Cognitive Science Society,2014,A,A,CORE2014,COREA-2014.csv,2,False
OCIS,AoM Organizational Communication and Information Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
APCOMin,Application of Computers and Operations Research in the Minerals Industries,2014,A,A,CORE2014,COREA-2014.csv,2,False
AIIM,Artificial Intelligence in Medicine,2014,A,A,CORE2014,COREA-2014.csv,2,False
AOSD,Aspect-Oriented Software Development,2014,A,A,CORE2014,COREA-2014.csv,2,False
ASE,Automated Software Engineering Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
CSCL,Computer Supported Collaborative Learning,2014,A,A,CORE2014,COREA-2014.csv,2,False
CoNLL,Conference on Computational Natural Language Learning,2014,A,A,CORE2014,COREA-2014.csv,2,False
FAST,Conference on File and Storage Technologies,2014,A,A,CORE2014,COREA-2014.csv,2,False
CIDR,Conference on Innovative Data Systems Research,2014,A,A,CORE2014,COREA-2014.csv,2,False
IPCO,Conference on Integer Programming and Combinatorial Optimization,2014,A,A,CORE2014,COREA-2014.csv,2,False
ITP,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",2014,A,A,CORE2014,COREA-2014.csv,2,False
DOOD,Deductive and Object-Oriented Databases,2014,A,A,CORE2014,COREA-2014.csv,2,False
DAC,Design Automation Conf,2014,A,A,CORE2014,COREA-2014.csv,2,False
EMNLP,Empirical Methods in Natural Language Processing,2014,A,A,CORE2014,COREA-2014.csv,2,False
EAAI,Engineering Applications of Artifical Intelligence,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECRTS,Euromicro Conference on Real-Time Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
EACL,European Association for Computational Linguistics,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECAI,European Conference on Artificial Intelligence,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECCV,European Conference on Computer Vision,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECIS,European Conference on Information Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECML,European Conference on Machine Learning (Joined with PKDD from 2008),2014,A,A,CORE2014,COREA-2014.csv,2,False
ECML PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),2014,A,A,CORE2014,COREA-2014.csv,2,False
ECOOP,European Conference on Object-Oriented Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
ECSA,European Conference on Software Architecture,2014,A,A,CORE2014,COREA-2014.csv,2,False
EUROGRAPH,European Graphics Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
ESA,European Symposium on Algorithms,2014,A,A,CORE2014,COREA-2014.csv,2,False
ESOP,European Symposium on Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
ESORICS,European Symposium On Research In Computer Security,2014,A,A,CORE2014,COREA-2014.csv,2,False
EuroSys,Eurosys Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
ESWC,Extended Semantic Web Conference (was European Semantic Web Conference),2014,A,A,CORE2014,COREA-2014.csv,2,False
EDBT,Extending Database Technology,2014,A,A,CORE2014,COREA-2014.csv,2,False
FOSSACS,Foundations of Software Science and Computational Structures,2014,A,A,CORE2014,COREA-2014.csv,2,False
GECCO,Genetic and Evolutionary Computations,2014,A,A,CORE2014,COREA-2014.csv,2,False
GD,Graph Drawing,2014,A,A,CORE2014,COREA-2014.csv,2,False
HICSS,Hawaii International Conference on System Sciences,2014,A,A,CORE2014,COREA-2014.csv,2,False
CSB,IEEE Computational Systems Bioinformatics Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
CSF,IEEE Computer Security Foundations Symposium (was CSFW),2014,A,A,CORE2014,COREA-2014.csv,2,False
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,2014,A,A,CORE2014,COREA-2014.csv,2,False
CDC,IEEE Conference on Decision and Control,2014,A,A,CORE2014,COREA-2014.csv,2,False
LCN,IEEE Conference on Local Computer Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
OPENARCH,IEEE Conference on Open Architecture and Network Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
VR,IEEE Conference on Virtual Reality and 3D User Interfaces,2014,A,A,CORE2014,COREA-2014.csv,2,False
CLUSTER,IEEE International Conference on Cluster Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICCL,IEEE International Conference on Computer Languages,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICDAR,IEEE International Conference on Document Analysis and Recognition,2014,A,A,CORE2014,COREA-2014.csv,2,False
e-Science,IEEE International Conference on e-Science and Grid Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
FUZZ-IEEE,IEEE International Conference on Fuzzy Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICMCS,IEEE International Conference on Multimedia Computing and Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSME,"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",2014,A,A,CORE2014,COREA-2014.csv,2,False
IEEE SSE,IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),2014,A,A,CORE2014,COREA-2014.csv,2,False
ICWS,IEEE International Conference on Web Services,2014,A,A,CORE2014,COREA-2014.csv,2,False
IJCNN,IEEE International Joint Conference on Neural Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
IPDPS,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),2014,A,A,CORE2014,COREA-2014.csv,2,False
RE,IEEE International Requirements Engineering Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISSCC,IEEE International Solid-State Circuits Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",2014,A,A,CORE2014,COREA-2014.csv,2,False
IEEE Alife,IEEE International Symposium on Artificial Life,2014,A,A,CORE2014,COREA-2014.csv,2,False
CCGRID,"IEEE International Symposium on Cluster, Cloud and Grid Computing",2014,A,A,CORE2014,COREA-2014.csv,2,False
NCA,IEEE International Symposium on Network Computing and Applications,2014,A,A,CORE2014,COREA-2014.csv,2,False
SMS,IEEE International Symposium on Software Metrics,2014,A,A,CORE2014,COREA-2014.csv,2,False
PacificVis,IEEE Pacific Visualization Symposium (was APVIS),2014,A,A,CORE2014,COREA-2014.csv,2,False
RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,2014,A,A,CORE2014,COREA-2014.csv,2,False
FCCM,IEEE Symposium on Field Programmable Custom Computing Machines,2014,A,A,CORE2014,COREA-2014.csv,2,False
IEEETKDE,IEEE Transactions on Knowledge and Data Engineering,2014,A,A,CORE2014,COREA-2014.csv,2,False
IEEE VIS,IEEE Visualization,2014,A,A,CORE2014,COREA-2014.csv,2,False
WACV,IEEE Workshop on Applications of Computer Vision,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICCAD,IEEE/ACM International Conference on Computer-Aided Design,2014,A,A,CORE2014,COREA-2014.csv,2,False
GRID,IEEE/ACM International Conference on Grid Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
Networking,IFIP International Conference on Networking,2014,A,A,CORE2014,COREA-2014.csv,2,False
PERFORMANCE,"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",2014,A,A,CORE2014,COREA-2014.csv,2,False
FORTE,"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",2014,A,A,CORE2014,COREA-2014.csv,2,False
Interact,IFIP TC13 Conference on Human-Computer Interaction,2014,A,A,CORE2014,COREA-2014.csv,2,False
DBSEC,IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),2014,A,A,CORE2014,COREA-2014.csv,2,False
IM,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),2014,A,A,CORE2014,COREA-2014.csv,2,False
IDA,Intelligent Data Analysis,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISMB,Intelligent Systems in Molecular Biology,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICALP,International Colloquium on Automata Languages and Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSC2,International Computer Symposium Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",2014,A,A,CORE2014,COREA-2014.csv,2,False
BPM,International Conference in Business Process Management,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICADL,International Conference of Asian Digital Libraries,2014,A,A,CORE2014,COREA-2014.csv,2,False
CaiSE,International Conference on Advanced Information Systems Engineering,2014,A,A,CORE2014,COREA-2014.csv,2,False
AID,International Conference on AI in Design,2014,A,A,CORE2014,COREA-2014.csv,2,False
ASAP,"International Conference on Application-specific Systems, Architectures and Processors",2014,A,A,CORE2014,COREA-2014.csv,2,False
AISTATS,International Conference on Artificial Intelligence and Statistics,2014,A,A,CORE2014,COREA-2014.csv,2,False
AIED,International Conference on Artificial Intelligence in Education,2014,A,A,CORE2014,COREA-2014.csv,2,False
AIME,International Conference on Artificial Intelligence in Medicine,2014,A,A,CORE2014,COREA-2014.csv,2,False
CADE,International Conference on Automated Deduction,2014,A,A,CORE2014,COREA-2014.csv,2,False
CC,International Conference on Compiler Construction,2014,A,A,CORE2014,COREA-2014.csv,2,False
CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",2014,A,A,CORE2014,COREA-2014.csv,2,False
COLING,International Conference on Computational Linguistics,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICCS,International Conference on Computational Science,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICCCN,International Conference on Computer Communication and Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
COCOON,International Conference on Computing and Combinatorics,2014,A,A,CORE2014,COREA-2014.csv,2,False
ER,International Conference on Conceptual Modelling,2014,A,A,CORE2014,COREA-2014.csv,2,False
CONCUR,International Conference on Concurrency Theory,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICARCV,"International Conference on Control, Automation, Robotics and Vision",2014,A,A,CORE2014,COREA-2014.csv,2,False
CoopIS,International Conference on Cooperative Information Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
Coordination,International Conference on Coordination Models and Languages,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICDT,International Conference on Database Theory,2014,A,A,CORE2014,COREA-2014.csv,2,False
DESRIST,International Conference on Design Science Research in Information Systems and Technology,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICDCS,International Conference on Distributed Computing Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
EMSOFT,International Conference on Embedded Software,2014,A,A,CORE2014,COREA-2014.csv,2,False
EWSN,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),2014,A,A,CORE2014,COREA-2014.csv,2,False
EASE,International Conference on Evaluation and Assessment in Software Engineering,2014,A,A,CORE2014,COREA-2014.csv,2,False
FSR,International Conference on Field and Service Robotics,2014,A,A,CORE2014,COREA-2014.csv,2,False
FOIS,International Conference on Formal Ontology in Information Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
FODO,International Conference on Foundation on Data Organization,2014,A,A,CORE2014,COREA-2014.csv,2,False
HiPC,International Conference on High Performance Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISD,International Conference on Information Systems Development,2014,A,A,CORE2014,COREA-2014.csv,2,False
ITS,International Conference on Intelligent Tutoring Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
IUI,International Conference on Intelligent User Interfaces,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICLP,International Conference on Logic Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
LPNMR,International Conference on Logic Programming and Non-monotonic Reasoning,2014,A,A,CORE2014,COREA-2014.csv,2,False
Mobiquitous,International Conference on Mobile and Ubiquitous Systems: Networks and Services,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICNP,International Conference on Network Protocols,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICONIP,International Conference on Neural Information Processing,2014,A,A,CORE2014,COREA-2014.csv,2,False
PACT,International Conference on Parallel Architecture and Compilation Techniques,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICPP,International Conference on Parallel Processing,2014,A,A,CORE2014,COREA-2014.csv,2,False
CP,International Conference on Principles and Practice of Constraint Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
Ada-Europe,International Conference on Reliable Software Technologies,2014,A,A,CORE2014,COREA-2014.csv,2,False
RTA,International Conference on Rewriting Techniques and Applications (now merged with FSCD Formal Structures for Computation and Deduction),2014,A,A,CORE2014,COREA-2014.csv,2,False
SSDBM,International Conference on Scientific and Statistical Data Base Management,2014,A,A,CORE2014,COREA-2014.csv,2,False
SecureComm,International Conference on Security and Privacy for Communication Networks,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSPC,International Conference on Security in Pervasive Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSOC,International Conference on Service Oriented Computing,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSSP,International Conference on Software and System Processes (was ICSP prior to 2011),2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSA,International Conference on Software Architecture (was previously WICSA),2014,A,A,CORE2014,COREA-2014.csv,2,False
ICSR,International Conference on Software Reuse,2014,A,A,CORE2014,COREA-2014.csv,2,False
ICTL,International Conference on Temporal Logic,2014,A,A,CORE2014,COREA-2014.csv,2,False
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,2014,A,A,CORE2014,COREA-2014.csv,2,False
ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,2014,A,A,CORE2014,COREA-2014.csv,2,False
TABLEAUX,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,2014,A,A,CORE2014,COREA-2014.csv,2,False
SAT,International Conference on Theory and Applications of Satisfiability Testing,2014,A,A,CORE2014,COREA-2014.csv,2,False
TPDL,International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),2014,A,A,CORE2014,COREA-2014.csv,2,False
TrustCom,"International Conference on Trust, Security and Privacy in Computing and Communications",2014,A,A,CORE2014,COREA-2014.csv,2,False
VEE,International Conference on Virtual Execution Environments,2014,A,A,CORE2014,COREA-2014.csv,2,False
WISE,International Conference on Web Information Systems Engineering,2014,A,A,CORE2014,COREA-2014.csv,2,False
EuroPar,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),2014,A,A,CORE2014,COREA-2014.csv,2,False
ESQARU,International Joint Conference on Qualitative and Quantitative Practical Reasoning,2014,A,A,CORE2014,COREA-2014.csv,2,False
ILPS,International Logic Programming Symposium,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISWC,International Semantic Web Conference,2014,A,A,CORE2014,COREA-2014.csv,2,False
ISAAC,International Symposium on Algorithms and Computation,2014,A,A,CORE2014,COREA-2014.csv,2,False
ATVA,International Symposium on Automated Technology for Verification and Analysis,2014,A,A,CORE2014,COREA-2014.csv,2,False
CGO,International Symposium on Code Generation and Optimization,2014,A,A,CORE2014,COREA-2014.csv,2,False
SoCG,International Symposium on Computational Geometry,2014,A,A,CORE2014,COREA-2014.csv,2,False
DISC,International Symposium on Distributed Computing (was WDAG),2014,A,A,CORE2014,COREA-2014.csv,2,False
ESEM,International Symposium on Empirical Software Engineering and Measurement,2014,A,A,CORE2014,COREA-2014.csv,2,False
FM,International Symposium on Formal Methods (was Formal Methods Europe FME),2014,A,A,CORE2014,COREA-2014.csv,2,False
FLOPS,International Symposium on Functional and Logic Programming,2014,A,A,CORE2014,COREA-2014.csv,2,False
FCT,International Symposium on Fundamentals of Computation Theory,2014,A,A,CORE2014,COREA-2014.csv,2,False
MFCS,International Symposium on Mathematical Foundations of Computer Science,2014,A,A,CORE2014,COREA-2014.csv,2,False
